SG=155.46
 name=R321'
 nsym=12
 spinor=True
symmetries=
   1 0 0 0 1 0 0 0 1    0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
 0 -1 0 1 -1 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 -0.3333333333333333  1
 -1 1 0 -1 0 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    -0.3333333333333333 0.0 0.0 0.3333333333333333  1
  0 1 0 1 0 0 0 0 -1    0 0 0 0.0 1.0 1.0 0.0    0.0 -0.6666666666666667 -0.3333333333333333 0.0  1
1 -1 0 0 -1 0 0 0 -1    0 0 0                                 0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0  1
-1 0 0 -1 1 0 0 0 -1    0 0 0   0.0 1.0 1.0 0.0    0.0 0.6666666666666667 0.3333333333333333 0.0  1
   1 0 0 0 1 0 0 0 1    0 0 0                                 1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 -1
 0 -1 0 1 -1 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    0.3333333333333333 0.0 0.0 -0.3333333333333333 -1
 -1 1 0 -1 0 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    -0.3333333333333333 0.0 0.0 0.3333333333333333 -1
  0 1 0 1 0 0 0 0 -1    0 0 0 0.0 1.0 1.0 0.0    0.0 -0.6666666666666667 -0.3333333333333333 0.0 -1
1 -1 0 0 -1 0 0 0 -1    0 0 0                                 0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1
-1 0 0 -1 1 0 0 0 -1    0 0 0   0.0 1.0 1.0 0.0    0.0 0.6666666666666667 0.3333333333333333 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6
-GM4GM5  2    2.00000 -2.00000 -2.00000 0.00000 0.00000 0.00000
-GM6  2    2.00000 1.00000 1.00000 0.00000 0.00000 0.00000



 kpoint  F : 0.000000 0.500000 1.000000  : 1 5
-F3F4  2    2.00000 0.00000



 kpoint  L : -0.500000 0.500000 0.500000  : 1 4
-L3L4  2    2.00000 0.00000



 kpoint  T : 0.000000 0.000000 1.500000  : 1 2 3 4 5 6
-T4T5  2    2.00000 -2.00000 -2.00000 0.00000 0.00000 0.00000
-T6  2    2.00000 1.00000 1.00000 0.00000 0.00000 0.00000
