SG=104.209
 name=P_C4nc
 nsym=16
 spinor=True
symmetries=
        1 0 0 0 1 0 0 0 1    0 0 0     1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
      -1 0 0 0 -1 0 0 0 1    0 0 0    1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
       0 -1 0 1 0 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    -0.25 0.0 0.0 0.25  1
       0 1 0 -1 0 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    0.25 0.0 0.0 -0.25  1
 1 0 0 0 -1 0 0 0 1    0.5 0.5 0.5     0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0  1
 -1 0 0 0 1 0 0 0 1    0.5 0.5 0.5   0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0  1
0 -1 0 -1 0 0 0 0 1    0.5 0.5 0.5 0.0 1.0 1.0 0.0    0.0 -0.75 -0.25 0.0  1
  0 1 0 1 0 0 0 0 1    0.5 0.5 0.5   0.0 1.0 1.0 0.0    0.0 0.75 0.25 0.0  1
    1 0 0 0 1 0 0 0 1    0.5 0.5 0     1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 -1
  -1 0 0 0 -1 0 0 0 1    0.5 0.5 0    1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5 -1
   0 -1 0 1 0 0 0 0 1    0.5 0.5 0  1.0 0.0 0.0 1.0    -0.25 0.0 0.0 0.25 -1
   0 1 0 -1 0 0 0 0 1    0.5 0.5 0  1.0 0.0 0.0 1.0    0.25 0.0 0.0 -0.25 -1
     1 0 0 0 -1 0 0 0 1    0 0 0.5     0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1
     -1 0 0 0 1 0 0 0 1    0 0 0.5   0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0 -1
    0 -1 0 -1 0 0 0 0 1    0 0 0.5 0.0 1.0 1.0 0.0    0.0 -0.75 -0.25 0.0 -1
      0 1 0 1 0 0 0 0 1    0 0 0.5   0.0 1.0 1.0 0.0    0.0 0.75 0.25 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4 5 6 7 8
-GM6  2    2.00000 0.00000 -1.41421 -1.41421 0.00000 0.00000 0.00000 0.00000
-GM7  2    2.00000 0.00000 1.41421 1.41421 0.00000 0.00000 0.00000 0.00000



 kpoint  A : 0.500000 0.500000 0.500000  : 1 2 3 4 5 6 7 8
-A6A6  4    4.00000 0.00000 2.82843 2.82843 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.50000 -0.50000 0.00000 0.00000 0.00000 0.00000
-A7A7  4    4.00000 0.00000 2.82843 2.82843 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.50000 0.50000 0.00000 0.00000 0.00000 0.00000



 kpoint  M : 0.500000 0.500000 0.000000  : 1 2 3 4 5 6 7 8
-M6  2    2.00000 0.00000 1.41421 1.41421 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.50000 -0.50000 0.00000 0.00000 0.00000 0.00000
-M7  2    2.00000 0.00000 1.41421 1.41421 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 -0.50000 0.50000 0.00000 0.00000 0.00000 0.00000



 kpoint  R : 0.000000 0.500000 0.500000  : 1 2 5 6
-R2R4  2    2.00000 2.00000 0.00000 0.00000 0.00000 -0.50000 0.00000 0.00000
-R3R5  2    2.00000 2.00000 0.00000 0.00000 0.00000 0.50000 0.00000 0.00000



 kpoint  X : 0.000000 0.500000 0.000000  : 1 2 5 6
-X2  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 0.50000 0.00000
-X3  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 -0.50000 0.00000
-X4  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -0.50000 -1.00000
-X5  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.50000 -1.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4 5 6 7 8
-Z6Z6  4    4.00000 0.00000 -2.82843 -2.82843 0.00000 0.00000 0.00000 0.00000
-Z7Z7  4    4.00000 0.00000 2.82843 2.82843 0.00000 0.00000 0.00000 0.00000
