SG=56.371
 name=Pc'c'n'
 nsym=8
 spinor=True
symmetries=
      1 0 0 0 1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
-1 0 0 0 -1 0 0 0 1    0.5 0.5 0  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
-1 0 0 0 1 0 0 0 -1    0 0.5 0.5   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0  1
1 0 0 0 -1 0 0 0 -1    0.5 0 0.5 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0  1
   -1 0 0 0 -1 0 0 0 -1    0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 -1
 1 0 0 0 1 0 0 0 -1    0.5 0.5 0  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5 -1
 1 0 0 0 -1 0 0 0 1    0 0.5 0.5   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1
 -1 0 0 0 1 0 0 0 1    0.5 0 0.5 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  R : 0.500000 0.500000 0.500000  : 1 2 3 4
-R5R5  4    4.00000 0.00000 0.00000 0.00000



 kpoint  S : 0.500000 0.500000 0.000000  : 1 2 3 4
-S5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  T : 0.000000 0.500000 0.500000  : 1 2 3 4
-T2T2  2    2.00000 2.00000 2.00000 2.00000 0.00000 -0.50000 0.00000 0.50000
-T3T3  2    2.00000 2.00000 2.00000 2.00000 0.00000 0.50000 -1.00000 0.50000
-T4T4  2    2.00000 2.00000 2.00000 2.00000 0.00000 -0.50000 -1.00000 -0.50000
-T5T5  2    2.00000 2.00000 2.00000 2.00000 0.00000 0.50000 0.00000 -0.50000



 kpoint  U : 0.500000 0.000000 0.500000  : 1 2 3 4
-U2U2  2    2.00000 2.00000 2.00000 2.00000 0.00000 -0.50000 -0.50000 0.00000
-U3U3  2    2.00000 2.00000 2.00000 2.00000 0.00000 0.50000 0.50000 0.00000
-U4U4  2    2.00000 2.00000 2.00000 2.00000 0.00000 -0.50000 0.50000 -1.00000
-U5U5  2    2.00000 2.00000 2.00000 2.00000 0.00000 0.50000 -0.50000 -1.00000



 kpoint  X : 0.500000 0.000000 0.000000  : 1 2 3 4
-X2X4  2    2.00000 2.00000 0.00000 0.00000 0.00000 -0.50000 0.00000 0.00000
-X3X5  2    2.00000 2.00000 0.00000 0.00000 0.00000 0.50000 0.00000 0.00000



 kpoint  Y : 0.000000 0.500000 0.000000  : 1 2 3 4
-Y2Y4  2    2.00000 2.00000 0.00000 0.00000 0.00000 -0.50000 0.00000 0.00000
-Y3Y5  2    2.00000 2.00000 0.00000 0.00000 0.00000 0.50000 0.00000 0.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
-Z5Z5  4    4.00000 0.00000 0.00000 0.00000
