SG=28.98
 name=P_Ima2
 nsym=8
 spinor=True
symmetries=
        1 0 0 0 1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
      -1 0 0 0 -1 0 0 0 1    0 0 0  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
     1 0 0 0 -1 0 0 0 1    0.5 0 0   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0  1
     -1 0 0 0 1 0 0 0 1    0.5 0 0 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0  1
  1 0 0 0 1 0 0 0 1    0.5 0.5 0.5   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 -1
-1 0 0 0 -1 0 0 0 1    0.5 0.5 0.5  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5 -1
   1 0 0 0 -1 0 0 0 1    0 0.5 0.5   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1
   -1 0 0 0 1 0 0 0 1    0 0.5 0.5 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  R : 0.500000 0.500000 0.500000  : 1 2 3 4
-R2R3  2    2.00000 0.00000 0.00000 2.00000 0.00000 0.00000 0.00000 -0.50000
-R4R5  2    2.00000 0.00000 0.00000 2.00000 0.00000 0.00000 0.00000 0.50000



 kpoint  S : 0.500000 0.500000 0.000000  : 1 2 3 4
-S2S3  2    2.00000 0.00000 0.00000 2.00000 0.00000 0.00000 0.00000 -0.50000
-S4S5  2    2.00000 0.00000 0.00000 2.00000 0.00000 0.00000 0.00000 0.50000



 kpoint  T : 0.000000 0.500000 0.500000  : 1 2 3 4
-T5T5  4    4.00000 0.00000 0.00000 0.00000



 kpoint  U : 0.500000 0.000000 0.500000  : 1 2 3 4
-U2U2  2    2.00000 2.00000 2.00000 2.00000 0.00000 -0.50000 0.00000 -0.50000
-U3U3  2    2.00000 2.00000 2.00000 2.00000 0.00000 0.50000 -1.00000 -0.50000
-U4U4  2    2.00000 2.00000 2.00000 2.00000 0.00000 -0.50000 -1.00000 0.50000
-U5U5  2    2.00000 2.00000 2.00000 2.00000 0.00000 0.50000 0.00000 0.50000



 kpoint  X : 0.500000 0.000000 0.000000  : 1 2 3 4
-X2  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 0.00000 -0.50000
-X3  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 -1.00000 -0.50000
-X4  1    1.00000 1.00000 1.00000 1.00000 0.00000 -0.50000 -1.00000 0.50000
-X5  1    1.00000 1.00000 1.00000 1.00000 0.00000 0.50000 0.00000 0.50000



 kpoint  Y : 0.000000 0.500000 0.000000  : 1 2 3 4
-Y5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
-Z5Z5  4    4.00000 0.00000 0.00000 0.00000
