SG=67.504
 name=Cmma'
 nsym=8
 spinor=True
symmetries=
    1 0 0 0 1 0 0 0 1    0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0  1
-1 0 0 0 -1 0 0 0 1    0 0.5 0  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5  1
 1 0 0 0 -1 0 0 0 1    0 0.5 0   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0  1
   -1 0 0 0 1 0 0 0 1    0 0 0 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0  1
-1 0 0 0 1 0 0 0 -1    0 0.5 0   0.0 1.0 1.0 0.0    0.0 1.0 0.0 0.0 -1
  1 0 0 0 -1 0 0 0 -1    0 0 0 0.0 1.0 1.0 0.0    0.0 -0.5 -0.5 0.0 -1
 -1 0 0 0 -1 0 0 0 -1    0 0 0   1.0 0.0 0.0 1.0    0.0 0.0 0.0 0.0 -1
 1 0 0 0 1 0 0 0 -1    0 0.5 0  1.0 0.0 0.0 1.0    -0.5 0.0 0.0 0.5 -1


 kpoint  GM : 0.000000 0.000000 0.000000  : 1 2 3 4
-GM5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  R : 0.500000 0.500000 0.500000  : 1 2
-R3R3  2    2.00000 2.00000 0.00000 -0.50000
-R4R4  2    2.00000 2.00000 0.00000 0.50000



 kpoint  S : 0.500000 0.500000 0.000000  : 1 2
-S3S3  2    2.00000 2.00000 0.00000 -0.50000
-S4S4  2    2.00000 2.00000 0.00000 0.50000



 kpoint  T : 1.000000 0.000000 0.500000  : 1 2 3 4
-T5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  Y : 1.000000 0.000000 0.000000  : 1 2 3 4
-Y5  2    2.00000 0.00000 0.00000 0.00000



 kpoint  Z : 0.000000 0.000000 0.500000  : 1 2 3 4
-Z5  2    2.00000 0.00000 0.00000 0.00000
